Metric,Value
FLOPs,390.96 MMac
Parameters,4.14 M
Model Size (MB),16.06000328063965
Training Losses
,3.4164495772936125
,2.8708394183353945
,2.506530286913568
,2.2102348973805253
,1.9700604006648064
,1.767024713145061
,1.5924569094045595
,1.4391280873255297
,1.2991172957488082
,1.16122137687423
,1.0506826801733538
,0.9451462848281319
,0.8433691590008411
,0.7551057100804015
,0.6782331652092662
,0.6053928601640192
,0.5483818109231916
,0.48502218748696824
,0.43843231146985834
,0.40508422954007983
,0.3609936883334409
,0.3220221505246379
,0.30387489341030066
,0.28948302431540057
,0.2731529737992043
,0.238216307268224
,0.23617376217787917
,0.23714233168654822
,0.2335321890952235
,0.2347318122205748
,0.22407010335221209
,0.216361961920153
,0.21025780783119527
,0.21374871420928024
,0.1986770179249685
,0.1953116920353337
,0.19127118174748664
,0.19395061743191697
,0.19831656126982786
,0.21332175625403496
,0.23663414165970276
,0.23711882207796656
,0.23117225026627156
,0.22939106134105136
,0.20821197995577345
,0.20412182234312323
,0.19801535177975893
,0.20819563676857136
,0.21531291424550794
,0.2210117885419591
,0.2409393688748506
,0.2437710084698417
,0.24257696451703933
,0.22695283968509597
,0.22478138462809677
,0.21714515368115495
,0.24114018297669562
,0.23593720844523472
,0.2308738605669615
,0.23886367938989264
,0.231764538933269
,0.23108697216957808
,0.23414447143758563
,0.23250333626161923
,0.2449907344257967
,0.24437283479015937
,0.24848464002240112
,0.23038843771527437
,0.23623251995410433
,0.2210393867201426
,0.2395922498438846
,0.23895461433990436
,0.24835180275311525
,0.2552720522508025
,0.2533359914298423
,0.25298773662441154
,0.24329763498495927
,0.24581548933532427
,0.2579986027822914
,0.24144845168021592
,0.23291417215527457
,0.22916175160472366
,0.22024918646043676
,0.2326239529277452
,0.23994880218312822
,0.24093201049518856
,0.23792879245328633
,0.23151428942483934
,0.24013937133449045
,0.2415609560610557
,0.23345054114576091
,0.2477871281391179
,0.25322941883297806
,0.24675257643684745
,0.22612622676586563
,0.23206311017698186
,0.2163685506463728
,0.2356899653095752
,0.22216073427857322
,0.20453449184159664
Validation Losses
,3.1390023827552795
,2.7319941997528074
,2.4810430109500885
,2.1967133224010467
,2.104061171412468
,1.936703023314476
,1.85666533857584
,1.7843951821327209
,1.7563773408532142
,1.7400189489126205
,1.7224585577845573
,1.77273231446743
,1.7467421531677245
,1.7608049467206002
,1.8351667165756225
,1.8428763777017594
,1.8327304631471635
,1.8145143911242485
,1.840174415707588
,1.869852527976036
,1.9469969242811203
,1.9483635634183885
,2.0475842267274857
,1.992419844865799
,2.00106920003891
,1.9766649574041366
,2.034009286761284
,2.0091439962387083
,2.0261805593967437
,2.070378014445305
,2.075638544559479
,2.0177484065294267
,2.0290554583072664
,2.1070555210113526
,2.025451797246933
,2.0032293826341627
,2.0313599526882173
,2.046922454237938
,2.1185260713100433
,2.0801315307617188
,2.0270721912384033
,2.0262789726257324
,2.0441089630126954
,2.0261842936277388
,2.008385953307152
,2.1300880759954453
,2.0045686274766923
,2.092692044377327
,2.0115506678819655
,2.063274985551834
,2.092636674642563
,2.0899057149887086
,1.9806379169225692
,1.9753141134977341
,2.1108137249946592
,1.9850935250520707
,2.0178236067295074
,2.023709887266159
,1.9757539212703705
,1.9786634176969529
,2.042681321501732
,1.9957805186510087
,1.9792175441980362
,2.0350658878684045
,1.998543491959572
,2.0423162072896957
,1.9484348744153976
,2.0097798615694047
,1.9763371884822845
,1.928188645839691
,2.032149690389633
,1.9294374018907547
,1.9881854861974717
,1.9411070466041564
,1.9379702299833297
,2.023747739195824
,1.9922446310520172
,1.9648854941129685
,1.958119088411331
,1.915726900100708
,1.9628829866647721
,1.994154331088066
,1.9799305379390717
,1.9838398844003677
,1.9862120598554611
,1.9246252566576003
,2.052300584316254
,1.925885909795761
,1.9224311858415604
,1.9924365550279617
,1.9692257612943649
,1.9274777442216873
,1.96350154876709
,1.95870261490345
,1.964500430226326
,1.9184718117117883
,1.9809358566999435
,1.9855521857738494
,1.9422771066427231
,2.0476734906435015
Training Accuracies
,17.293333333333333
,27.255555555555556
,34.61333333333334
,41.10444444444445
,46.42
,51.16888888888889
,55.53111111111111
,59.28666666666667
,63.02
,66.54888888888888
,69.7088888888889
,72.81777777777778
,75.40222222222222
,78.0111111111111
,80.24222222222222
,82.33111111111111
,83.97333333333333
,85.89555555555556
,87.08666666666667
,88.35333333333334
,89.71777777777778
,90.75777777777778
,91.36222222222223
,91.62
,92.19555555555556
,93.33777777777777
,93.41555555555556
,93.36
,93.29333333333334
,93.33555555555556
,93.54444444444445
,93.96444444444444
,94.07555555555555
,93.9088888888889
,94.47555555555556
,94.59333333333333
,94.5911111111111
,94.62222222222222
,94.45333333333333
,93.80666666666667
,92.94888888888889
,92.96666666666667
,93.24
,93.32888888888888
,94.11111111111111
,94.19555555555556
,94.40444444444445
,94.05333333333333
,93.87555555555555
,93.74444444444444
,93.00888888888889
,92.88444444444444
,93.00444444444445
,93.36666666666666
,93.43777777777778
,93.74222222222222
,92.97777777777777
,93.08666666666667
,93.36
,92.89777777777778
,93.25555555555556
,93.29333333333334
,93.21555555555555
,93.34666666666666
,92.88222222222223
,92.93333333333334
,92.76
,93.34666666666666
,93.15333333333334
,93.53111111111112
,93.04444444444445
,93.02
,92.74666666666667
,92.48444444444445
,92.69555555555556
,92.59333333333333
,92.81555555555556
,92.83555555555556
,92.46444444444444
,93.02444444444444
,93.30888888888889
,93.30666666666667
,93.68222222222222
,93.26444444444445
,92.94
,93.02
,93.08888888888889
,93.32888888888888
,92.94444444444444
